threshold,fpr,tpr
0.3,0.30432060112711334,0.06820809248554913
0.301,0.3005635566687539,0.06820809248554913
0.302,0.2943018159048215,0.06820809248554913
0.303,0.2905447714464621,0.06705202312138728
0.304,0.28804007514088914,0.06647398843930635
0.305,0.2805259862241703,0.06589595375722543
0.306,0.27551659361302444,0.06589595375722543
0.307,0.2686286787726988,0.06589595375722543
0.308,0.26111458985597996,0.06473988439306358
0.309,0.2548528490920476,0.06473988439306358
0.31,0.24796493425172197,0.06473988439306358
0.311,0.24483406386975579,0.06473988439306358
0.312,0.2385723231058234,0.06358381502890173
0.313,0.23356293049467752,0.06358381502890173
0.314,0.22730118973074515,0.06358381502890173
0.315,0.22229179711959926,0.06242774566473988
0.316,0.2185347526612398,0.06127167630057803
0.317,0.21415153412648716,0.06127167630057803
0.318,0.20663744520976832,0.06069364161849711
0.319,0.20601127113337508,0.06069364161849711
0.32,0.20225422667501566,0.06069364161849711
0.321,0.19849718221665624,0.06069364161849711
0.322,0.1959924859110833,0.06069364161849711
0.323,0.1897307451471509,0.06069364161849711
0.324,0.18534752661239826,0.06011560693641618
0.325,0.18096430807764557,0.05953757225433526
0.326,0.17783343769567939,0.058959537572254334
0.327,0.17470256731371323,0.058959537572254334
0.328,0.1696931747025673,0.058959537572254334
0.329,0.16405760801502817,0.05838150289017341
0.33,0.16217908578584847,0.05838150289017341
0.331,0.1596743894802755,0.057803468208092484
0.332,0.15654351909830932,0.05722543352601156
0.333,0.1527864746399499,0.056647398843930635
0.334,0.14840325610519725,0.05606936416184971
0.335,0.14464621164683783,0.05606936416184971
0.336,0.1408891671884784,0.05491329479768786
0.337,0.13963681903569192,0.05433526011560694
0.338,0.13650594865372573,0.05433526011560694
0.339,0.1358797745773325,0.05375722543352601
0.34,0.13337507827175954,0.05375722543352601
0.341,0.13024420788979335,0.05375722543352601
0.342,0.12711333750782716,0.05375722543352601
0.343,0.12398246712586099,0.05375722543352601
0.34400000000000003,0.12147777082028804,0.05317919075144509
0.34500000000000003,0.12022542266750157,0.05317919075144509
0.34600000000000003,0.11646837820914215,0.05317919075144509
0.34700000000000003,0.11333750782717596,0.05260115606936416
0.34800000000000003,0.11145898559799625,0.05260115606936416
0.34900000000000003,0.10958046336881654,0.05260115606936416
0.35000000000000003,0.10707576706324358,0.05260115606936416
0.35100000000000003,0.10457107075767064,0.05260115606936416
0.352,0.1008140262993112,0.05260115606936416
0.353,0.09893550407013149,0.05260115606936416
0.354,0.09768315591734503,0.05202312138728324
0.355,0.09705698184095178,0.05202312138728324
0.356,0.09455228553537884,0.05086705202312139
0.357,0.09142141515341265,0.050289017341040465
0.358,0.08891671884783969,0.050289017341040465
0.359,0.08891671884783969,0.050289017341040465
0.36,0.08641202254226675,0.04971098265895954
0.361,0.08515967438948027,0.04971098265895954
